Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
UBA,"Urstadt Biddle Properties Inc",21.36,0.079999999999998,+0.38%,21.4,21.17,58908,06/13/19
UCBI,"United Comm Banks",27.28,-0.14,-0.51%,27.5,27.08,428051,"16:01 ET"
UCTT,"Ultra Clean Holdings",13.27,0.71,+5.65%,13.28,12.64,327537,"16:09 ET"
UEIC,"Universal Elect IN",41.05,-0.02,-0.05%,41.48,40.34,88374,"16:01 ET"
UFCS,"United Fire Group",47.51,0.13,+0.27%,47.85,47.21,29641,"16:01 ET"
UFI,"Unifi Inc",18.69,0.25,+1.36%,18.83,18.39,69051,06/13/19
UFPI,"Universal Forest Prd",36.95,0.53,+1.46%,37.13,36.51,126069,"16:01 ET"
UHT,"Universal Health Realty Income Trust",85.95,1.71,+2.03%,86.22,84.1,43684,06/13/19
UIHC,"United Insurance Hld",14.44,0.12,+0.84%,14.49,14.28,95182,"16:01 ET"
UIS,"Unisys Corp",9.22,-0.16,-1.71%,9.48,9.15,471583,06/13/19
UNF,"Unifirst Corp",166.31,-1.38,-0.82%,169.2,164.86,92743,06/13/19
UNFI,"United Nat Foods",10.77,0.26,+2.47%,10.91,10.43,1300475,06/13/19
UNT,"Unit Corp",8.25,0.54,+7.00%,8.33,7.84,494691,06/13/19
USCR,"U S Concrete Inc",47.33,2.5,+5.58%,47.9,44.51,314805,"16:03 ET"
USPH,"U.S. Physical Therapy",118.09,-0.55,-0.46%,119.29,116.93,90108,06/13/19
UVE,"Universal Insurance Holdings Inc",29.3,0.29,+1.00%,29.49,28.89,195334,"16:03 ET"
UVV,"Universal Corp",60.3,1.02,+1.72%,60.61,59.15,200519,"16:03 ET"
VBTX,"Veritex Holdings",25.98,0.05,+0.19%,26.24,25.81,119356,"16:01 ET"
VECO,"Veeco Instrument",11.81,0.01,+0.08%,11.95,11.67,182765,"16:09 ET"
VG,"Vonage Holdings",11.65,0.16,+1.39%,11.75,11.55,3086986,06/13/19
VIAV,"Viavi Solutions",13.09,0.04,+0.31%,13.19,13.03,993116,"16:07 ET"
VICR,"Vicor Cp",32.05,0.58,+1.84%,32.55,31.23,86286,"16:07 ET"
VIVO,"Meridian Bioscience",11.56,-0.01,-0.09%,11.69,11.52,183158,"16:07 ET"
VNDA,"Vanda Pharmaceuticals",15.04,0.57,+3.94%,15.14,14.43,942919,"16:07 ET"
VRA,"Vera Bradley",11.93,0.54,+4.74%,12.02,11.41,429647,"16:07 ET"
VREX,"Varex Imaging Corp",28.81,-0.19,-0.66%,29.22,28.57,179880,"16:01 ET"
VRTS,"Virtus Inv Partners",106.37,1.19,+1.13%,107.43,105.33,34328,"16:01 ET"
VRTU,"Virtusa Corp",44.22,0.32,+0.73%,44.8,43.35,302963,"16:01 ET"
VRTV,"Veritiv Corp",19.53,0.52,+2.74%,19.76,19.04,86061,"16:03 ET"
VSI,"Vitamin Shoppe Inc",4.18,0.43,+11.47%,4.19,3.74,715371,"16:04 ET"
VSTO,"Vista Outdoor Inc",8.33,0.34,+4.26%,8.35,8.05,450845,06/13/19
VVI,"Viad Corp",65.17,0.25,+0.39%,65.61,64.56,97167,06/13/19
WABC,"Westamerica Bancorp",60.86,0.06,+0.10%,61.57,60.74,60324,"16:01 ET"
WAGE,"Wageworks Inc",52.57,-0.19,-0.36%,53.61,52.08,216477,"16:03 ET"
WD,"Walker & Dunlop",53.18,0.5,+0.95%,53.47,52.54,80324,06/13/19
WDFC,"W D 40 CO",162.57,0.17,+0.10%,163.99,161.82,49237,"16:01 ET"
WDR,"Waddell & Reed Financial",17.07,0.14,+0.83%,17.14,16.96,414181,06/13/19
WETF,"Wisdomtree Invstmnts",6.19,0.01,+0.16%,6.26,6.14,783183,"16:09 ET"
WGO,"Winnebago Industries",36.23,0.34999999999999,+0.98%,36.81,35.76,247663,06/13/19
WING,"Wingstop Inc",91.58,1.1,+1.22%,92.38,90.35,246450,"16:06 ET"
WIRE,"Encore Wire Cp",54.69,0.96,+1.79%,55.13,53.37,80815,"16:03 ET"
WLH,"William Lyon Homes",19.19,0.040000000000003,+0.21%,19.66,19.11,160947,06/13/19
WLL,"Whiting Petroleum Corp",16.69,0.55,+3.41%,16.77,16.26,4873051,"16:06 ET"
WNC,"Wabash National Corp",15.13,0.5,+3.42%,15.14,14.69,418253,"16:03 ET"
WPG,"Washington Prime Group Inc",4.29,0.09,+2.14%,4.34,4.2,1610562,"16:04 ET"
WRE,"Washington Real Estate Investment",27.58,0.47,+1.73%,27.6,27.08,433522,06/13/19
WRLD,"World Acceptance Cp",153.56,1.78,+1.17%,156.27,152.7,122654,"16:01 ET"
WSR,"Whitestone REIT",12.76,0.17,+1.35%,12.76,12.59,216431,06/13/19
WTS,"Watts Water Technologies",89.64,1.65,+1.88%,89.73,88.55,100843,"16:03 ET"
WWW,"Wolverine World Wide",27.83,0.21,+0.76%,28.07,27.51,799808,06/13/19
XHR,"Xenia Hotels & Resorts Inc",21.55,0.31,+1.46%,21.55,21.17,466286,"16:03 ET"
XPER,"Xperi Corp",20.51,0.17,+0.84%,20.69,20.1,211974,"16:06 ET"
ZEUS,"Olympic Steel Inc",13.14,0.26,+2.02%,13.38,12.76,52002,"16:01 ET"
ZUMZ,"Zumiez Inc",23.15,0.49,+2.16%,23.45,22.7,480153,"16:13 ET"
"Downloaded from Barchart.com as of 06-13-2019 03:35pm CDT"
