Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
BYND,"Beyond Meat Inc",151.48,10.09,+7.14%,142.01,157.9,141.8,14924452,"16:19 ET"
BYSI,"Beyondspring Inc",21.15,0,0.00%,22,22,20.03,34820,"16:01 ET"
BZUN,"Baozun Inc Ads",44.59,-0.42,-0.93%,44.39,45.58,44.05,1943123,"16:17 ET"
CAC,"Camden Natl Cp",44.34,0.42,+0.96%,43.87,44.72,43.44,34915,"16:04 ET"
CACC,"Credit Acceptance",486.59,-3.11,-0.64%,490.48,490.48,483.39,57241,"16:01 ET"
CAKE,"Cheesecake Fact",45.37,-0.18,-0.40%,45.6,46.15,45.2,596841,"16:10 ET"
CALM,"Cal-Maine Foods IN",40.75,-0.22,-0.54%,40.93,41.13,40.58,219799,"16:02 ET"
CAR,"Avis Budget Group",33.24,0.58,+1.78%,32.57,33.27,32.05,1440708,"16:07 ET"
CARB,"Carbonite Inc",23.57,0.37,+1.59%,23.17,23.63,23.04,188250,"16:07 ET"
CARG,"Cargurus Inc Cl A",35.65,-0.04,-0.11%,35.58,35.97,35.26,486806,"16:07 ET"
CASA,"Casa Systems Inc",6.12,-0.03,-0.49%,6.13,6.27,5.97,466575,"16:11 ET"
CASH,"Meta Financial Group",28.57,0.15,+0.53%,28.45,28.67,28.26,235465,"16:01 ET"
CASS,"Cass Information Sys",45.07,-0.42,-0.92%,45.47,45.91,45.04,24626,"16:01 ET"
CASY,"Casey's General Stor",151.97,-0.32,-0.21%,152.86,154.35,150.64,448464,"16:06 ET"
CATM,"Cardtronics Inc",28.12,-0.36,-1.26%,28.64,28.8,28,581875,"16:11 ET"
CATY,"Cathay Genl Bncp",34.57,-0.15,-0.43%,34.59,34.74,34.24,316539,"16:01 ET"
CBLK,"Carbon Black Inc",15.99,-0.01,-0.06%,16.02,16.34,15.92,550528,"16:01 ET"
CBPO,"China Biologic Produ",92.74,1.28,+1.40%,91.5,93.65,91.28,142873,"16:01 ET"
CBRL,"Cracker Barrel",168.2,1.37,+0.82%,166.82,169.59,166.82,247122,"16:01 ET"
CBSH,"Commerce Bancshares",59.3,0.34,+0.58%,58.82,59.45,58.72,222954,"16:10 ET"
CCLP,"CSI Compressco",3.28,-0.04,-1.20%,3.32,3.35,3.24,46385,"16:04 ET"
CCMP,"Cabot Microelectron",105.44,-2.56,-2.37%,106.61,107.19,105.31,109101,"16:11 ET"
CCOI,"Cogent Comm Hldgs",59.49,-0.47,-0.78%,59.8,60.57,59.32,235575,"16:11 ET"
CDEV,"Centennial Resource Development Inc",6.4,-0.49,-7.11%,6.88,7,6.22,6217719,"16:12 ET"
CDK,"Cdk Global Inc",48.59,-0.57,-1.16%,49.07,49.07,48.09,398176,"16:07 ET"
CDNA,"Caredx Inc",36.92,-1.01,-2.66%,37.98,38.56,36.84,396321,"16:07 ET"
